Departamento;Nome da Unidade (a);Endereço;CEP;Características do Imóvel;Telefone;Fax;Horário de Atendimento;Email
CENTRO DE APOIO OPERACIONAL DOS DIREITOS HUMANOS;Assessor/Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3632;-;8:00 as 14:00;caoconstitucional@mppa.mp.br
 CENTRO DE APOIO OPERACIONAL DOS DIREITOS HUMANOS;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3508;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DOS DIREITOS SOCIAIS;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3601 (91) 4006-3510;-;8:00 as 14:00;caods@mppa.mp.br
CENTRO DE APOIO OPERACIONAL DOS DIREITOS SOCIAIS;Assessoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3602;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DOS DIREITOS SOCIAIS;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3506;-;8:00 as 14:00;-
 CENTRO DE APOIO OPERACIONAL TÉCNICO;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91)4006-3577;-;8:00 as 14:00;-
CENTRO DE ESTUDOS E APERFEIÇOAMENTO FUNCIONAL (CEAF);Apoio;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3648 (91) 4006-3650;(91) 4006-3648;8:00 as 14:00;ceaf@mppa.mp.br
CENTRO DE ESTUDOS E APERFEIÇOAMENTO FUNCIONAL (CEAF);Assessoria;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3494;-;8:00 as 14:00;-
CENTRO DE ESTUDOS E APERFEIÇOAMENTO FUNCIONAL (CEAF);Diretoria;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3649;-;8:00 as 14:00;-
 CENTRO DE ESTUDOS E APERFEIÇOAMENTO FUNCIONAL (CEAF);Sala de Assessoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3406;-;8:00 as 14:00;-
COLÉGIO DE PROCURADORES DE JUSTIÇA;Plenário;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3583;-;8:00 as 14:00;colegio@mppa.mp.br
COLÉGIO DE PROCURADORES DE JUSTIÇA;Secretaria;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3628 (91) 4006-3642;-;8:00 as 14:00;colegio@mppa.mp.br
COMISSÃO DE CONTROLE INTERNO;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3537;-;8:00 as 14:00;auditoria@mppa.mp.br
 COMISSÃO DE CONTROLE INTERNO;Assessores;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3500 (91) 4006-3538;-;8:00 as 14:00;-
COMISSÃO DE CONTROLE INTERNO;Auditor;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3591;-;8:00 as 14:00;-
COMISSÃO DE GESTÃO DE CONTRATOS E CONVÊNIOS;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3579;-;8:00 as 14:00;gestaocontratos@mppa.mp.br
COMISSÃO DE GESTÃO DE CONTRATOS E CONVÊNIOS;Coordenador;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3492;-;8:00 as 14:00;-
 CONSELHO SUPERIOR;Assessoria;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3403;-;8:00 as 14:00;conselho@mppa.mp.br
CONSELHO SUPERIOR;Secretaria;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3588;-;8:00 as 14:00;conselho@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO BAIXO AMAZONAS;Coordenadoria - Santarém;Av.Mendonça Furtado,3991.Bairro Liberdade.;68.040-148;PRÓPRIO;(93) 3512-3400;-;8:00 as 14:00;mpsantarem@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO BAIXO AMAZONAS;Plantão - Coordenador;Av.Mendonça Furtado,3991.Bairro Liberdade.;68.040-148;PRÓPRIO;(93) 3512-3412;-;8:00 as 14:00;-
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO BELÉM II;Coordenadoria - Ananindeua;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4815;-;8:00 as 14:00;ananindeu@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO BELÉM II;Plantão;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 98871-2115 (91) 98871-2126;-;8:00 as 14:00;-
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO MARAJÓ I;Coordenadoria - Soure;Primeira Rua, S/Nº- Bairro: Centro.;68.870-300;PJ no Fórum;(91) 3741-1515;-;8:00 as 14:00;mpsoure@mppa.mp.br
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO MARAJÓ II;Coordenadoria - Breves;Travessa Castilhos França,617 -Bairro: Centro, CEP: 68.800-300.;68.800-300;ALUGADO;(91) 3783-1599;-;8:00 as 14:00;mpbreves@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE I;Coordenadoria - Castanhal;Av. Presidente Vargas, 2638. Centro.;68.745-970;PRÓPRIO;(91) 3412-6107;-;8:00 as 14:00;mpcastanhal@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE I;Plantão Cível;Av. Presidente Vargas, 2638. Centro.;68.745-970;PRÓPRIO;(91) 3412-6102;-;8:00 as 14:00;-
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE I;Plantão Criminal;Av. Presidente Vargas, 2638. Centro.;68.745-970;PRÓPRIO;(91) 3412-6108;-;8:00 as 14:00;-
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE II;Coordenadoria - Capanema;Av. Barão de Capanema, 1188. Centro.;68.700-970;PRÓPRIO;(91) 3462-2482;(91) 3462-2442;8:00 as 14:00;mpcapanema@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE II;Coordenadoria(Chefia de Apoio)-Capanema;Av. Barão de Capanema, 1188. Centro.;68.700-970;PRÓPRIO;(91) 3462-2442;-;8:00 as 14:00;-
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO NORDESTE III;Coordenadoria - Paragominas;Rua Eixo W I, S/Nº Bairro: Centro. Módulo II;68.625-970;PRÓPRIO;(91)3729-1783 (91) 3729-3820;-;8:00 as 14:00;mpparagominas@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDESTE I;Coordenadoria -Marabá;Rua das Flores, S/Nº.Esquina com a Rod. Transamazônica. Bairro: Agrópolis do INCRA.;68.502-290;PRÓPRIO;(94) 3312-9936;-;8:00 as 14:00;maraba@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDESTE II;Coordenadoria - Redenção;Av. Manoel Vicente Pereira, 385 -Centro: Parque dos burutis.;68.552-760;PRÓPRIO;(94) 3424-3577 (94)3424-3656;-;8:00 as 14:00;mpredencao@mppa.mp.br
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDESTE III;Coordenadoria - Tucuruí;Rua Dom Cornélio Vermans, 559- Bairro: Santa Izabel.;68.458-400;LOCADO;(94) 3787-3204 (94) 3787-7554;-;8:00 as 14:00;mptucurui@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDESTE IV;Coordenadoria - Parauapebas;Rua C, nº 1098 - Bairro da Cidade Nova - CEP 68.515-300;68.515-300;PRÓPRIO;(94) 3346-1664;-;8:00 as 14:00;mpparaoapebas@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDOESTE I;Coordenadoria - Altamira;Av. Brigadeiro Eduardo Gomes, 2785 - Esplanada do Xingu;68.372-340;PRÓPRIO;(93) 3593-3729 (93) 3515-1998 (93) 3515-1696 (93) 3515-1744;-;8:00 as 14:00;mpaltamira@mppa.mp.br
 COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDOESTE II;Coordenadoria - Itaituba;Av. Brigadeiro Haroldo Veloso, 436. Boa Esperança.;68.180-360;ALUGADO;(93) 3518-3099 (93) 3518-2123;-;8:00 as 14:00;mpitaituba@mppa.mp.br
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO SUDOESTE II;Plantão - Coordenador;Av. Brigadeiro Haroldo Veloso, 436. Boa Esperança.;68.180-360;ALUGADO;(93) 9954-3211;-;8:00 as 14:00;-
COORDENADORIA DE REGIÃO ADMINISTRATIVA - POLO TOCANTINS;Coordenadoria - Abaetetuba;Av. São Paulo, 2072. Bairro : Aviação;68.440-300;PRÓPRIO;(91) 3751-1499 (91) 3751-1177;(91) 3751-2688;8:00 as 14:00;mpAbaetetuba@mppa.mp.br
 CORREGEDORIA GERAL DE JUSTIÇA;apoio da Corregedoria;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3435;-;8:00 as 14:00;corregedoria@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;Assessoria da Corregedoria;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3405;-;8:00 as 14:00;corregedoria@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;Comissão de Segurança Institucional do Ministério Público do Pará;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3405;-;8:00 as 14:00;adelio@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;Inspeção;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3415;-;8:00 as 14:00;corregedoria@mppa.mp.br
 CORREGEDORIA GERAL DE JUSTIÇA;Movimentação na Carreira;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3436;-;8:00 as 14:00;corregedoria@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;Promotores Assessores;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3430 (91) 4006-3433 (91) 4006-3434;(91) 4006-3560;8:00 as 14:00;corregedoria@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;SEAPA/VISITA;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3466;-;8:00 as 14:00;seapa@mppa.mp.br
CORREGEDORIA GERAL DE JUSTIÇA;SIAMP;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3432;-;8:00 as 14:00;siamp@mppa.mp.br
 DEPARTAMENTO DE ADMINISTRAÇÃO;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3491 (91) 4006-3580;-;8:00 as 14:00;adm@mppa.mp.br
DEPARTAMENTO DE ADMINISTRAÇÃO;Diretoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3490;-;8:00 as 14:00;-
DEPARTAMENTO DE ADMINISTRAÇÃO;Secretaria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3489;-;8:00 as 14:00;-
DEPARTAMENTO DE ATIVIDADES JUDICIAIS;Diretoria;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3517;-;8:00 as 14:00;-
 DEPARTAMENTO DE ATIVIDADES JUDICIAIS;Secretário;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3519;(91) 4006-3519;8:00 as 14:00;ativjud@mppa.mp.br
DEPARTAMENTO DE INFORMÁTICA;Diretoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3482;-;8:00 as 14:00;-
DEPARTAMENTO DE INFORMÁTICA;Rede;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3412 (91) 4006-3974;-;8:00 as 14:00;-
DEPARTAMENTO DE INFORMÁTICA;Secretaria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3480;-;8:00 as 14:00;informatica@mppa.mp.br
 DEPARTAMENTO DE INFORMÁTICA;Técnicos Rede;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3545 (91) 4006-3644;-;8:00 as 14:00;-
DEPARTAMENTO DE OBRAS E MANUTENÇÃO;Diretoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3459;-;8:00 as 14:00;-
DEPARTAMENTO DE OBRAS E MANUTENÇÃO;Secretaria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3479;(91) 4006-3479;8:00 as 14:00;dom@mppa.mp.br
DEPARTAMENTO DE RECURSOS HUMANOS;Diretoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3637;-;8:00 as 14:00;-
 DEPARTAMENTO DE RECURSOS HUMANOS;Secretaria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3471;(91) 4006-3590;8:00 as 14:00;drh@mppa.mp.br
DEPARTAMENTO FINANCEIRO;Apoio contábil;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3647;-;8:00 as 14:00;-
DEPARTAMENTO FINANCEIRO;Diretoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3460;-;8:00 as 14:00;-
DEPARTAMENTO FINANCEIRO;Secretaria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3465;-;8:00 as 14:00;financeiro@mppa.mp.br
 DEPARTAMENTO MÉDICO E ODONTOLÓGICO - DMO;Geral;Av. 16 de Novembro, 130 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3241-5666 (91) 3241-9214 (91) 3242-1249;-;8:00 as 14:00;dmo@mppa.mp.br
DIVISÃO DE ADMINISTRAÇÃO DE PESSOAL;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3470 (91) 4006-3640;-;8:00 as 14:00;-
DIVISÃO DE ADMINISTRAÇÃO DE PESSOAL;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3472;-;8:00 as 14:00;-
DIVISÃO DE ADMINISTRAÇÃO DE PESSOAL;Folha de Pagamento;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3473 (91) 4006-3641 (91) 4006-3608;-;8:00 as 14:00;-
 DIVISÃO DE ADMINISTRAÇÃO DE PESSOAL;Ponto Eletrônico;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3467;-;8:00 as 14:00;-
DIVISÃO DE ANÁLISE E PROGRAMAÇÃO;ÁREA FIM;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3688 (91) 4006-3424;-;8:00 as 14:00;-
DIVISÃO DE ANÁLISE E PROGRAMAÇÃO;ÁREA MEIO;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3483 (91) 4006-3546;-;8:00 as 14:00;-
DIVISÃO DE ANÁLISE E PROGRAMAÇÃO;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3552;-;8:00 as 14:00;-
 DIVISÃO DE ANÁLISE E PROGRAMAÇÃO;GEDOC;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3410;-;8:00 as 14:00;dap@mppa.mp.br
DIVISÃO DE ANÁLISE E PROGRAMAÇÃO;SIMP;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3553;-;8:00 as 14:00;-
DIVISÃO DE APOIO AO USUÁRIO;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3481;-;8:00 as 14:00;informatica@mppa.mp.br
DIVISÃO DE APOIO AO USUÁRIO;Laboratório;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3413;-;8:00 as 14:00;-
 DIVISÃO DE APOIO AO USUÁRIO;Técnicos;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3540;-;8:00 as 14:00;-
DIVISÃO DE ARQUITETURA;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3431;-;8:00 as 14:00;arquitetura@mppa.mp.br
DIVISÃO DE ARQUITETURA;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3452;-;8:00 as 14:00;-
DIVISÃO DE BIBLIOTECA;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3573;-;8:00 as 14:00;-
DIVISÃO DE BIBLIOTECA;Processamento Técnico;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3522;-;8:00 as 14:00;-
 DIVISÃO DE BIBLIOTECA;Recepção;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3523;-;8:00 as 14:00;biblioteca@mppa.mp.br
DIVISÃO DE DESENVOLVIMENTO DE PESSOAL;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3653 (91) 4006-3631;-;8:00 as 14:00;ddrh@mppa.mp.br
DIVISÃO DE DESENVOLVIMENTO DE PESSOAL;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3532;(91) 4006-3631;8:00 as 14:00;-
DIVISÃO DE DESENVOLVIMENTO DE PESSOAL;Núcleo de Estágio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3469;-;8:00 as 14:00;-
 DIVISÃO DE ENGENHARIA;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3450 (91) 4006-3551;(91) 4006-3454;8:00 as 14:00;engenharia@mppa.mp.br
DIVISÃO DE ENGENHARIA;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3454;-;8:00 as 14:00;-
DIVISÃO DE EXECUÇÃO FINANCEIRA;Apoio prestação contas;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3463;-;8:00 as 14:00;-
DIVISÃO DE EXECUÇÃO FINANCEIRA;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3462;-;8:00 as 14:00;-
 DIVISÃO DE EXECUÇÃO ORÇAMENTÁRIA;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3461;-;8:00 as 14:00;financeiro@mppa.mp.br
DIVISÃO DE EXECUÇÃO ORÇAMENTÁRIA;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3464;-;8:00 as 14:00;-
DIVISÃO DE MATERIAL;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3457 (91) 4006-3566 (91) 4006-3495;-;8:00 as 14:00;material@mppa.mp.br
DIVISÃO DE MATERIAL;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3496;(91) 4006-3457;8:00 as 14:00;-
 DIVISÃO DE PATRIMÔNIO;Apoio;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3494;-;8:00 as 14:00;patrimonio@mppa.mp.br
DIVISÃO DE PATRIMÔNIO;Apoio/Manutenção;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3527;-;8:00 as 14:00;-
DIVISÃO DE PATRIMÔNIO;Chefia;Rua João Diogo, 52 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3493;-;8:00 as 14:00;-
DIVISÃO DE PROCESSOS CÍVEIS 1º GRAU;Apoio;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3520 (91) 4006-3643;-;8:00 as 14:00;-
 DIVISÃO DE PROCESSOS CÍVEIS 1º GRAU;Chefia;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3594;-;8:00 as 14:00;bouth@mppa.mp.br
DIVISÃO DE PROCESSOS CRIMINAIS 1º GRAU;Chefia;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3595;-;8:00 as 14:00;-
DIVISÃO DE PROCESSOS CRIMINAIS 1º GRAU;Chefia;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4406-3521;-;8:00 as 14:00;dpe@mppa.mp.br
DIVISÃO DE PROCESSOS CRIMINAIS 2º GRAU;Apoio;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3518;-;8:00 as 14:00;-
 DIVISÃO DE PROCESSOS CRIMINAIS 2º GRAU;Chefia;Rua Joaquim Távora, 509 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3630;-;8:00 as 14:00;-
DIVISÃO DE PROTOCOLO;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3589 (91) 4006-3645 (91) 4006-3567;-;8:00 as 14:00;protocologeral@mppa.mp.br
DIVISÃO DE PROTOCOLO;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3525;(91) 4006-3550;8:00 as 14:00;protocolo@mppa.mp.br
DIVISÃO DE PROTOCOLO;Correspondência;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3549;-;8:00 as 14:00;-
 DIVISÃO DE SERVIÇOS GERAIS;Chefia;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3497;-;8:00 as 14:00;-
GRUPO DE ATUAÇÃO ESPECIAL NO COMBATE AO CRIME ORGANIZADO (GAECO);Área Técnica;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3544 (91) 3210-3543 (91) 3210-3547 (91) 3210-3550 (91) 3210-3549 (91) 3210-3548 (91) 3210-3504 (91) 3210-3505;-;8:00 as 14:00;-
GRUPO DE ATUAÇÃO ESPECIAL NO COMBATE AO CRIME ORGANIZADO (GAECO);Coordenador;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3541;-;8:00 as 14:00;-
 GRUPO DE ATUAÇÃO ESPECIAL NO COMBATE AO CRIME ORGANIZADO (GAECO);Secretaria;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3540;-;8:00 as 14:00;GAECO@mppa.mp.br
GRUPO DE ATUAÇÃO ESPECIAL NO COMBATE AO CRIME ORGANIZADO (GAECO)/NÚCLEO DE COMBATE À IMPROBIDADE E CORRUPÇÃO;PABX;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3500;-;8:00 as 14:00;-
GRUPO TÉCNICO INTERDICIPLINAR;Contadores;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3515;-;8:00 as 14:00;supercao@mppa.mp.br
